H,E,Dir,Loc
13,8,L,6
14,NaN,L,6
13,NaN,L,6
10,0,L,6
15,NaN,R,6
16,31,R,6
18,21,R,6
22,28,R,6
2,10,R,6
9,25,R,6
24,36,R,6
16,22,R,6
17,21,R,6
19,37,R,6
19,45,R,6
24,1,R,6
22,28,R,6
14,26,R,6
18,27,R,6
17,51,R,6
19,20,R,6
17,29,R,6
18,29,R,6
23,28,R,6
20,41,R,6
23,51,R,6
27,48,R,6
16,1,R,6
27,30,R,6
21,21,R,6
14,2,R,6
24,NaN,R,6
17,17,R,6
20,23,R,6
17,10,R,6
22,39,R,6
20,31,R,6
22,45,R,6
20,6,R,6
15,136,R,6
20,146,R,6
15,21,R,6
11,28,R,6
13,30,R,6
17,26,R,6
5,27,R,6
15,32,R,6
34,43,R,6
11,27,R,6
12,44,L,7
16,20,L,7
17,22,L,7
18,8,L,7
7,11,L,7
11,14,L,7
12,11,L,7
15,45,L,7
16,6,L,7
18,10,L,7
13,22,L,7
13,14,L,7
6,13,L,7
11,15,L,7
11,16,L,7
14,21,L,7
13,NaN,L,7
9,NaN,L,7
13,7,L,7
19,16,L,7
12,20,L,7
12,16,L,7
11,15,L,7
14,NaN,L,7
13,10,L,7
14,19,L,7
5,22,L,7
15,18,L,7
12,11,L,7
8,8,L,7
11,14,L,7
15,19,L,7
12,NaN,L,7
15,19,L,7
14,18,L,7
18,25,L,7
14,14,L,7
15,19,L,7
17,22,L,7
12,NaN,L,7
11,16,L,7
13,13,L,7
14,NaN,L,7
13,18,L,7
15,25,L,7
14,6,R,7
16,41,R,7
25,31,R,7
26,34,R,7
20,33,R,7
19,33,R,7
14,44,R,7
17,34,R,7
17,28,R,7
19,27,R,7
18,29,R,7
24,35,R,7
17,19,R,7
21,6,R,7
22,30,R,7
24,26,R,7
22,34,R,7
20,37,R,7
18,26,R,7
19,29,R,7
18,10,R,7
11,29,R,7
22,17,R,7
20,93,R,7
22,39,R,7
24,32,R,7
20,27,R,7
20,NaN,R,7
18,35,R,7
22,32,R,7
24,43,R,7
20,36,R,7
19,35,R,7
21,20,R,7
22,34,R,7
21,51,R,7
16,26,R,7
22,31,R,7
32,42,R,7
22,114,R,7
20,14,R,7
21,30,R,7
21,18,R,7
21,21,R,7
14,23,R,7
20,22,R,7
19,35,R,7
18,12,R,7
22,25,R,7
22,34,R,7
24,33,R,7
17,25,R,7
18,19,R,7
18,29,R,7
18,34,R,7
19,35,R,7
16,19,R,7
13,21,R,7
20,19,R,7
18,27,R,7
23,21,R,7
18,88,L,8
17,17,L,8
16,23,L,8
17,19,L,8
18,23,L,8
19,20,L,8
19,17,L,8
18,20,L,8
18,18,L,8
14,25,L,8
14,19,L,8
20,22,L,8
16,19,L,8
14,NaN,L,8
16,19,L,8
14,19,L,8
17,21,L,8
16,22,L,8
13,NaN,L,8
16,22,L,8
14,17,L,8
15,10,L,8
16,20,L,8
15,22,L,8
14,17,L,8
16,24,L,8
17,NaN,L,8
15,NaN,L,8
17,22,L,8
16,20,L,8
17,22,L,8
18,21,L,8
14,28,L,8
16,18,L,8
16,22,L,8
18,20,L,8
18,21,L,8
16,19,L,8
15,3,L,8
19,24,R,8
21,27,R,8
17,19,R,8
19,21,R,8
20,23,R,8
21,22,R,8
17,21,R,8
18,29,R,8
14,22,R,8
22,26,R,8
17,30,R,8
21,25,R,8
24,31,R,8
19,24,R,8
21,NaN,R,8
21,27,R,8
23,4,R,8
22,26,R,8
23,30,R,8
24,32,R,8
24,36,R,8
25,25,R,8
23,31,R,8
23,27,R,8
26,37,R,8
24,31,R,8
22,27,R,8
22,30,R,8
23,27,R,8
21,27,R,8
25,23,R,8
23,47,R,8
19,23,R,8
17,26,R,8
18,17,R,8
20,28,R,8
19,18,R,8
19,24,R,8
16,21,R,8
20,20,L,9
17,17,L,9
11,20,L,9
12,7,L,9
13,8,L,9
14,14,L,9
15,11,L,9
12,NaN,L,9
14,10,L,9
12,13,L,9
12,21,L,9
19,11,L,9
15,15,L,9
13,12,L,9
15,14,L,9
16,13,L,9
18,17,L,9
14,10,L,9
13,10,L,9
12,NaN,L,9
11,13,L,9
16,10,L,9
15,16,L,9
11,7,L,9
12,NaN,L,9
13,8,L,9
12,5,L,9
15,11,L,9
13,NaN,L,9
15,3,L,9
15,5,L,9
14,15,L,9
17,17,L,9
15,12,L,9
11,NaN,L,9
18,5,L,9
21,NaN,L,9
13,8,L,9
15,16,L,9
14,8,L,9
15,16,L,9
16,11,L,9
14,13,L,9
17,9,L,9
15,12,L,9
10,8,L,9
12,14,L,9
12,13,L,9
13,26,L,9
14,22,L,9
10,13,L,9
13,6,L,9
15,20,L,9
16,NaN,L,9
15,16,L,9
16,5,L,9
15,16,L,9
15,19,R,9
19,10,R,9
17,22,R,9
22,14,R,9
20,19,R,9
18,25,R,9
18,15,R,9
18,24,R,9
20,24,R,9
18,23,R,9
19,27,R,9
20,24,R,9
18,18,R,9
19,33,R,9
16,21,R,9
19,8,R,9
20,22,R,9
16,31,R,9
18,20,R,9
16,13,R,9
19,18,R,9
21,22,R,9
18,30,R,9
19,21,R,9
20,23,R,9
18,25,R,9
19,20,R,9
19,24,R,9
20,22,R,9
18,22,R,9
19,23,R,9
16,16,R,9
19,21,R,9
16,11,R,9
14,22,R,9
16,20,R,9
19,24,R,9
21,20,R,9
19,29,R,9
19,21,R,9
17,19,R,9
19,34,R,9
19,24,R,9
17,24,R,9
19,24,R,9
20,27,R,9
22,32,R,9
19,8,R,9
18,27,R,9
20,19,R,9
16,33,R,9
16,16,R,9
18,19,R,9
18,20,R,9
21,22,R,9
17,33,R,9
18,16,R,9
19,25,R,9
19,29,R,9
19,25,R,9
22,24,R,9
21,18,R,9
19,21,R,9
21,20,R,9
19,26,R,9
12,1,R,9
17,17,R,9
20,29,R,9
21,24,R,9
24,26,R,9
19,20,R,9
15,21,R,9
20,12,R,9
21,24,R,9
16,20,R,9
18,24,R,9
18,26,R,9
19,24,R,9
17,30,R,9
20,33,R,9
21,24,R,9
19,23,R,9
21,22,R,9
19,16,R,9
18,20,R,9
18,22,R,9
14,7,L,10
12,14,L,10
12,16,L,10
18,19,L,10
14,NaN,L,10
15,11,L,10
13,12,L,10
19,13,L,10
15,17,L,10
11,13,L,10
13,8,L,10
19,18,L,10
14,19,L,10
19,21,L,10
13,16,L,10
15,16,L,10
13,10,L,10
12,0,L,10
13,13,L,10
15,6,L,10
12,NaN,L,10
13,14,L,10
14,12,L,10
15,11,L,10
13,18,L,10
13,12,L,10
14,16,L,10
16,14,L,10
11,12,L,10
14,14,L,10
16,15,L,10
12,15,L,10
