Hs,Es,Hv,Ev,Dir,Loc
12,NaN,-263.453892299107,217.75381905692,L,8
15,22,-227.257864815848,199.933733258929,L,8
14,9,-246.58203125,214.222499302455,L,8
15,11,-247.105189732143,213.067190987723,L,8
15,20,-228.903634207589,199.040004185268,L,8
15,22,-233.90633719308,205.928257533482,L,8
14,17,-225.601196289063,196.642194475446,L,8
16,24,-260.707310267857,226.919991629464,L,8
16,NaN,-240.140642438616,217.873709542411,L,8
19,19,-285.699026925223,282.374790736607,L,8
15,NaN,-242.61474609375,189.154488699777,L,8
17,23,-221.481323242188,197.775704520089,L,8
15,19,-217.154366629464,185.906546456473,L,8
17,22,-221.165248325893,201.928274972098,L,8
18,22,-253.502982003348,227.80282156808,L,8
14,42,-253.165108816964,206.702096121652,L,8
16,16,-238.603864397321,200.075422014509,L,8
16,23,-228.41317313058,193.001883370536,L,8
17,21,-229.808262416295,200.151715959821,L,8
17,21,-237.470354352679,219.791957310268,L,8
16,19,-311.595371791295,258.734566824777,L,8
15,NaN,-352.118355887277,321.20840890067,L,8
19,24,-250.08065359933,281.034197126116,R,8
21,27,-275.966099330357,301.579066685268,R,8
17,19,-316.761561802455,345.62247140067,R,8
19,21,-314.113071986607,355.551583426339,R,8
20,23,-306.102207728795,208.980015345982,R,8
21,22,-247.039794921875,259.334019252232,R,8
17,21,-244.162423270089,256.031581333705,R,8
18,29,-219.323294503348,241.459437779018,R,8
14,22,-257.448468889509,284.750802176339,R,8
22,26,-250.821794782366,239.170619419643,R,8
17,30,-214.516775948661,234.353201729911,R,8
21,25,-218.800136021205,258.854457310268,R,8
24,31,-176.010131835938,191.290719168527,R,8
19,24,-212.26065499442,235.007149832589,R,8
21,NaN,-153.830392020089,174.822126116071,R,8
21,27,-184.053693498884,198.756626674107,R,8
23,4,-175.356183733259,183.10546875,R,8
22,26,-178.854806082589,204.4677734375,R,8
23,30,-177.296229771205,195.138113839286,R,8
24,32,-193.001883370536,214.39688546317,R,8
24,36,-159.846714564732,185.797555106027,R,8
25,25,-162.277221679688,185.753958565848,R,8
23,31,-170.506068638393,202.102661132813,R,8
23,27,-186.29891531808,200.762067522321,R,8
26,37,-164.173671177455,178.560529436384,R,8
24,31,-162.996564592634,186.146327427455,R,8
22,27,-180.598667689732,205.230712890625,R,8
22,30,-170.45157296317,193.361554827009,R,8
23,27,-158.38623046875,173.830304827009,R,8
21,27,-170.364379882813,184.991019112723,R,8
25,23,-172.162737165179,194.549560546875,R,8
23,47,-144.871303013393,155.269077845982,R,8
19,23,-261.829921177455,299.453735351563,R,8
17,26,-290.810721261161,314.723423549107,R,8
18,17,-237.219674246652,267.366681780134,R,8
20,28,-264.413016183036,302.668980189732,R,8
19,18,-243.661063058036,287.628173828125,R,8
19,24,-291.072300502232,218.941824776786,R,8
16,21,-298.222133091518,329.873221261161,R,8
20,20,-198.549543108259,175.977434430804,L,9
17,17,-223.55215890067,184.293474469866,L,9
11,20,-239.933558872768,193.165370396205,L,9
12,7,-248.609270368304,196.39151436942,L,9
13,8,-268.5546875,210.168021065848,L,9
14,14,-265.655517578125,223.606654575893,L,9
15,11,-262.222290039063,205.568586077009,L,9
12,NaN,-275.475638253348,208.620343889509,L,9
14,10,-179.454258510045,145.666939871652,L,9
12,13,-231.889997209821,175.268990652902,L,9
12,21,-256.380353655134,212.053571428571,L,9
19,11,-226.484026227679,185.819353376116,L,9
15,15,-183.094569614955,153.023856026786,L,9
13,12,-272.641863141741,214.647565569196,L,9
